German,English
der,the
und,and
in,in
sein,be
ein,a 
haben,to have
sie,you
werden,will
von,from
ich,I
es,it
mit,With
sich,itself
er,he
auf,on
für,for
auch,also
an,on
dass,that
zu,to
als,as
können,be able
dies,this
wie,how
wir,we
ihr,her
so,so
bei,at
sein,be
man,man
noch,still
nach,after
oder,or
all,Alles
aus,out
was,What
nur,only 
sagen,to say
dann,then
müssen,have to
um,around
ja,Yes
kein,no
über,above
da,there
geben,give
vor,before
mein,my
mehr,more
Jahr,Year
durch,through
viel,a lot of
machen,make
andere,other
sollen,must
schon,beautiful
kommen,come
mir,me
immer,always
mich,me
gehen,walk
groß,big
hier,here
ganz,all
zwei,two
also,so
jetzt,now
doch,yet
wieder,again
uns,us
gut,Well
bis,until
wissen,to know
sehen,see
einer,one
sehr,very
Mal,Times
lassen,to let
stehen,stand
unser,our
jede,every
weil,because
unter,under
Mensch,person
ihm,him
ihn,him
denn,then
Beispiel,example
erste,first
Zeit,time
lang,long
leben,Life
Frau,Woman
etwas,some
selbst,even
wenig,little
finden,Find
gegen,versus
zwischen,in between
drei,three
liegen,lie
wo,Where
nichts,Nothing
klein,small
bleiben,stay
nun,well
sondern,but
heute,today
beide,both
hoch,high
damit,in order to
ohne,without
Mann,Man
welch,which
tun,do
einmal,once
ihnen,them
heißen,mean
ob,if
denken,think
dabei,included
seit,since
einfach,easy
erst,first
Kind,child
stellen,place
zeigen,demonstrate
natürlich,naturally
alt,old
dort,there
Deutschland,Germany
gleich,same
nehmen,take
dürfen,allowed to
wichtig,important
vielleicht,perhaps
hören,Listen
Haus,a house
nein,no
wer,who
dazu,to
eigentlich,actually
letzte,last
fragen,ask
Herr,Mister
halten,keep
glauben,believe
Frage,question
gelten,are valid
gerade,just
folgen,follow
führen,to lead
bringen,bring
Welt,World
gar,at all
eigen,own
genau,I agree
mögen,to like
spät,late
bereits,already
möglich,possible
Prozent,percent
während,while
einige,some
dafür,Therefore
kurz,short
richtig,correct
stark,strong
brauchen,to need
etwa,about
weitere,Further
Ende,End
schreiben,write
solch,such
nie,never
Fall,case
schön,Nice
wirklich,really
denen,those
nennen,to name
warum,why
ziehen,draw
Wort,Word
darauf,thereon
eben,even
Seite,side
Teil,Part
jung,young
vier,four
